respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample,east_youth,age_1990,age_2023,dose_years,born_after_1990,gdr_exposed,gdr_socialized_10plus
2633,4,0.5011444524580629,1.0,2.0,3.0,1960.0,2.0,5.0,,120.0,8.0,4,0,0,1,1,0,30.0,63.0,0.0,0,0,0
2634,-50,1.2524284086434012,3.0,1.0,,1943.0,1.0,5.0,1600.0,30.0,95.0,-50,,,0,0,,47.0,80.0,,0,,
2635,-8,1.2075648348440184,1.0,1.0,4.0,1990.0,2.0,5.0,450.0,50.0,8.0,-8,,,0,0,0,0.0,33.0,0.0,0,0,0
2636,1,1.2075648348440184,1.0,1.0,4.0,1976.0,2.0,3.0,750.0,80.0,1.0,1,0,0,1,1,0,14.0,47.0,0.0,0,0,0
2637,1,1.2075648348440184,1.0,1.0,4.0,1938.0,2.0,2.0,1875.0,50.0,6.0,1,0,0,1,1,0,52.0,85.0,0.0,0,0,0
2638,90,1.2524284086434012,1.0,1.0,4.0,1992.0,2.0,5.0,1500.0,80.0,1.0,90,0,0,1,1,0,-2.0,31.0,0.0,1,0,0
2639,1,1.2524284086434012,1.0,1.0,4.0,1964.0,2.0,3.0,,80.0,1.0,1,0,0,1,1,0,26.0,59.0,0.0,0,0,0
2640,2,1.2038247711023997,1.0,1.0,4.0,1952.0,2.0,5.0,2625.0,50.0,8.0,2,0,0,1,1,0,38.0,71.0,0.0,0,0,0
2641,6,1.2075648348440184,1.0,1.0,4.0,1991.0,2.0,5.0,2900.0,111.0,7.0,6,0,0,1,1,0,-1.0,32.0,0.0,1,0,0
2642,1,0.5445972257083529,1.0,2.0,1.0,1944.0,1.0,2.0,1625.0,140.0,17.0,1,0,0,1,1,1,46.0,79.0,18.0,0,1,1
2643,42,1.2075648348440184,1.0,1.0,,2001.0,1.0,5.0,,90.0,95.0,42,1,1,1,1,,-11.0,22.0,,1,,
2644,91,1.2038247711023997,1.0,1.0,4.0,1957.0,2.0,2.0,813.0,50.0,8.0,91,0,,1,0,0,33.0,66.0,0.0,0,0,0
2645,4,1.2524284086434012,1.0,1.0,4.0,1948.0,2.0,3.0,1200.0,60.0,6.0,4,0,0,1,1,0,42.0,75.0,0.0,0,0,0
2646,1,0.5445972257083529,1.0,2.0,1.0,1971.0,1.0,3.0,2700.0,160.0,17.0,1,0,0,1,1,1,19.0,52.0,18.0,0,1,1
2647,3,1.2038247711023997,1.0,1.0,4.0,1985.0,1.0,5.0,4750.0,60.0,6.0,3,0,0,1,1,0,5.0,38.0,0.0,0,0,0
2648,-8,1.2075648348440184,1.0,1.0,4.0,1998.0,2.0,4.0,880.0,80.0,1.0,-8,,,0,0,0,-8.0,25.0,0.0,1,0,0
2649,91,0.5011444524580629,1.0,2.0,1.0,1958.0,1.0,3.0,1400.0,112.0,13.0,91,0,,1,0,1,32.0,65.0,18.0,0,1,1
2650,2,0.5011444524580629,1.0,2.0,3.0,1995.0,1.0,5.0,1300.0,112.0,6.0,2,0,0,1,1,0,-5.0,28.0,0.0,1,0,0
2651,2,1.2524284086434012,1.0,1.0,4.0,1969.0,2.0,2.0,,50.0,8.0,2,0,0,1,1,0,21.0,54.0,0.0,0,0,0
2652,1,1.2524284086434012,1.0,1.0,4.0,1954.0,1.0,2.0,1188.0,60.0,6.0,1,0,0,1,1,0,36.0,69.0,0.0,0,0,0
2653,-50,1.2075648348440184,3.0,1.0,,1957.0,2.0,-33.0,,80.0,95.0,-50,,,0,0,,33.0,66.0,,0,,
2654,2,1.2524284086434012,2.0,1.0,4.0,1970.0,2.0,2.0,1600.0,10.0,11.0,2,0,0,1,1,0,20.0,53.0,0.0,0,0,0
2655,3,1.2038247711023997,1.0,1.0,4.0,1954.0,2.0,3.0,2375.0,50.0,8.0,3,0,0,1,1,0,36.0,69.0,0.0,0,0,0
2656,3,1.2524284086434012,3.0,1.0,4.0,2001.0,2.0,3.0,,111.0,4.0,3,0,0,1,1,0,-11.0,22.0,0.0,1,0,0
2657,2,1.2038247711023997,1.0,1.0,4.0,1953.0,2.0,5.0,1438.0,50.0,8.0,2,0,0,1,1,0,37.0,70.0,0.0,0,0,0
2658,4,1.2075648348440184,1.0,1.0,4.0,1970.0,1.0,5.0,20000.0,70.0,9.0,4,0,0,1,1,0,20.0,53.0,0.0,0,0,0
2659,42,0.5445972257083529,1.0,2.0,1.0,1982.0,1.0,3.0,1625.0,150.0,16.0,42,1,1,1,1,1,8.0,41.0,8.0,0,1,0
2660,-9,1.2524284086434012,1.0,1.0,4.0,1963.0,1.0,3.0,2800.0,30.0,7.0,-9,,,0,0,0,27.0,60.0,0.0,0,0,0
2661,3,0.5408545025487828,1.0,2.0,1.0,1958.0,1.0,5.0,4750.0,140.0,15.0,3,0,0,1,1,1,32.0,65.0,18.0,0,1,1
2662,-8,1.2524284086434012,1.0,1.0,4.0,1977.0,2.0,2.0,2300.0,90.0,2.0,-8,,,0,0,0,13.0,46.0,0.0,0,0,0
2663,6,0.5445972257083529,1.0,2.0,1.0,1953.0,1.0,3.0,938.0,120.0,12.0,6,0,0,1,1,1,37.0,70.0,18.0,0,1,1
2664,2,1.2038247711023997,1.0,1.0,4.0,1956.0,2.0,5.0,688.0,80.0,8.0,2,0,0,1,1,0,34.0,67.0,0.0,0,0,0
2665,-8,1.2075648348440184,1.0,1.0,2.0,1971.0,1.0,3.0,1700.0,30.0,17.0,-8,,,0,0,1,19.0,52.0,18.0,0,1,1
2666,-7,0.5408545025487828,1.0,2.0,1.0,1945.0,1.0,3.0,1300.0,130.0,16.0,-7,,,0,0,1,45.0,78.0,18.0,0,1,1
2667,2,0.5445972257083529,1.0,2.0,1.0,1990.0,1.0,3.0,563.0,160.0,17.0,2,0,0,1,1,1,0.0,33.0,0.0,0,0,0
2668,-50,1.2038247711023997,3.0,1.0,,1981.0,1.0,4.0,,50.0,95.0,-50,,,0,0,,9.0,42.0,,0,,
2669,91,1.2524284086434012,1.0,1.0,4.0,1943.0,1.0,2.0,1900.0,50.0,8.0,91,0,,1,0,0,47.0,80.0,0.0,0,0,0
2670,3,0.5445972257083529,1.0,2.0,1.0,1979.0,2.0,5.0,2625.0,120.0,15.0,3,0,0,1,1,1,11.0,44.0,11.0,0,1,1
2671,2,1.2524284086434012,1.0,1.0,4.0,1940.0,1.0,2.0,2400.0,30.0,7.0,2,0,0,1,1,0,50.0,83.0,0.0,0,0,0
2672,4,0.5408545025487828,1.0,2.0,1.0,1989.0,2.0,5.0,2100.0,150.0,16.0,4,0,0,1,1,1,1.0,34.0,1.0,0,1,0
2673,1,1.2075648348440184,1.0,1.0,4.0,1944.0,2.0,2.0,800.0,80.0,1.0,1,0,0,1,1,0,46.0,79.0,0.0,0,0,0
2674,1,0.5445972257083529,1.0,2.0,1.0,1984.0,2.0,4.0,2625.0,130.0,14.0,1,0,0,1,1,1,6.0,39.0,6.0,0,1,0
2675,-8,1.2524284086434012,1.0,1.0,4.0,1944.0,2.0,3.0,2375.0,30.0,7.0,-8,,,0,0,0,46.0,79.0,0.0,0,0,0
2676,-7,0.5445972257083529,1.0,2.0,1.0,2004.0,2.0,5.0,485.0,112.0,13.0,-7,,,0,0,1,-14.0,19.0,0.0,1,0,0
2677,-50,1.2524284086434012,3.0,1.0,4.0,1974.0,2.0,2.0,,70.0,9.0,-50,,,0,0,0,16.0,49.0,0.0,0,0,0
2678,4,1.2524284086434012,1.0,1.0,4.0,1958.0,2.0,5.0,1700.0,50.0,8.0,4,0,0,1,1,0,32.0,65.0,0.0,0,0,0
2679,42,1.2524284086434012,1.0,1.0,2.0,1980.0,1.0,5.0,4500.0,80.0,16.0,42,1,1,1,1,1,10.0,43.0,10.0,0,1,1
2680,1,1.2038247711023997,1.0,1.0,4.0,1954.0,1.0,3.0,2375.0,30.0,7.0,1,0,0,1,1,0,36.0,69.0,0.0,0,0,0
2681,1,1.2524284086434012,1.0,1.0,4.0,1960.0,2.0,3.0,,90.0,2.0,1,0,0,1,1,0,30.0,63.0,0.0,0,0,0
2682,2,1.2075648348440184,1.0,1.0,4.0,1942.0,2.0,2.0,938.0,10.0,11.0,2,0,0,1,1,0,48.0,81.0,0.0,0,0,0
2683,1,1.2075648348440184,1.0,1.0,2.0,1979.0,1.0,4.0,1000.0,60.0,17.0,1,0,0,1,1,1,11.0,44.0,11.0,0,1,1
2684,-7,1.2524284086434012,1.0,1.0,4.0,1976.0,2.0,,,90.0,2.0,-7,,,0,0,0,14.0,47.0,0.0,0,0,0
2685,1,1.2524284086434012,1.0,1.0,4.0,1976.0,1.0,4.0,3300.0,60.0,6.0,1,0,0,1,1,0,14.0,47.0,0.0,0,0,0
2686,4,1.2524284086434012,1.0,1.0,4.0,1967.0,2.0,3.0,1188.0,10.0,11.0,4,0,0,1,1,0,23.0,56.0,0.0,0,0,0
2687,42,1.2038247711023997,1.0,1.0,4.0,1965.0,1.0,2.0,2375.0,50.0,8.0,42,1,1,1,1,0,25.0,58.0,0.0,0,0,0
2688,3,1.2075648348440184,1.0,1.0,4.0,1990.0,1.0,4.0,4000.0,50.0,8.0,3,0,0,1,1,0,0.0,33.0,0.0,0,0,0
2689,4,1.2524284086434012,1.0,1.0,4.0,1958.0,2.0,5.0,4250.0,60.0,1.0,4,0,0,1,1,0,32.0,65.0,0.0,0,0,0
2690,4,1.2524284086434012,1.0,1.0,4.0,1959.0,2.0,3.0,1188.0,90.0,2.0,4,0,0,1,1,0,31.0,64.0,0.0,0,0,0
2691,6,0.5408545025487828,1.0,2.0,1.0,2002.0,1.0,4.0,1800.0,120.0,12.0,6,0,0,1,1,1,-12.0,21.0,0.0,1,0,0
2692,2,1.2038247711023997,2.0,1.0,,1955.0,1.0,6.0,1063.0,50.0,95.0,2,0,0,1,1,,35.0,68.0,,0,,
2693,-8,0.5011444524580629,1.0,2.0,1.0,1950.0,2.0,3.0,1625.0,150.0,16.0,-8,,,0,0,1,40.0,73.0,18.0,0,1,1
2694,1,1.2524284086434012,1.0,1.0,4.0,1951.0,1.0,4.0,2625.0,70.0,8.0,1,0,0,1,1,0,39.0,72.0,0.0,0,0,0
2695,3,0.5011444524580629,1.0,2.0,1.0,1983.0,1.0,5.0,3600.0,140.0,15.0,3,0,0,1,1,1,7.0,40.0,7.0,0,1,0
2696,42,1.2038247711023997,1.0,1.0,4.0,1968.0,2.0,3.0,450.0,90.0,2.0,42,1,1,1,1,0,22.0,55.0,0.0,0,0,0
2697,2,0.5445972257083529,1.0,2.0,1.0,1964.0,2.0,2.0,1875.0,140.0,15.0,2,0,0,1,1,1,26.0,59.0,18.0,0,1,1
2698,6,0.5408545025487828,1.0,2.0,1.0,1999.0,2.0,5.0,500.0,112.0,13.0,6,0,0,1,1,1,-9.0,24.0,0.0,1,0,0
2699,-8,0.5011444524580629,1.0,2.0,1.0,1982.0,2.0,4.0,1290.0,140.0,15.0,-8,,,0,0,1,8.0,41.0,8.0,0,1,0
2700,42,0.5408545025487828,1.0,2.0,1.0,1977.0,1.0,3.0,2125.0,120.0,12.0,42,1,1,1,1,1,13.0,46.0,13.0,0,1,1
2701,42,1.2038247711023997,1.0,1.0,4.0,1996.0,2.0,6.0,,90.0,2.0,42,1,1,1,1,0,-6.0,27.0,0.0,1,0,0
2702,4,1.2038247711023997,1.0,1.0,4.0,2003.0,2.0,5.0,450.0,60.0,6.0,4,0,0,1,1,0,-13.0,20.0,0.0,1,0,0
2703,-8,0.5011444524580629,1.0,2.0,1.0,1956.0,2.0,3.0,1500.0,120.0,17.0,-8,,,0,0,1,34.0,67.0,18.0,0,1,1
2704,42,0.5408545025487828,1.0,2.0,1.0,2002.0,1.0,3.0,2375.0,160.0,17.0,42,1,1,1,1,1,-12.0,21.0,0.0,1,0,0
2705,42,0.5011444524580629,1.0,2.0,1.0,1990.0,1.0,3.0,1880.0,140.0,15.0,42,1,1,1,1,1,0.0,33.0,0.0,0,0,0
