respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample,east_youth,age_1990,age_2023,dose_years,born_after_1990,gdr_exposed,gdr_socialized_10plus
535,42,0.5011444524580629,1.0,2.0,1.0,1968.0,1.0,3.0,1300.0,130.0,14.0,42,1,1,1,1,1,22.0,55.0,18.0,0,1,1
536,1,1.2038247711023997,1.0,1.0,4.0,1980.0,2.0,4.0,520.0,50.0,8.0,1,0,0,1,1,0,10.0,43.0,0.0,0,0,0
539,1,1.2075648348440184,1.0,1.0,4.0,1976.0,1.0,2.0,5000.0,80.0,1.0,1,0,0,1,1,0,14.0,47.0,0.0,0,0,0
540,2,1.2075648348440184,1.0,1.0,4.0,1944.0,2.0,3.0,2000.0,80.0,1.0,2,0,0,1,1,0,46.0,79.0,0.0,0,0,0
541,3,1.2524284086434012,1.0,1.0,4.0,1990.0,1.0,4.0,4300.0,90.0,1.0,3,0,0,1,1,0,0.0,33.0,0.0,0,0,0
542,4,1.2038247711023997,1.0,1.0,4.0,1973.0,2.0,4.0,3250.0,20.0,5.0,4,0,0,1,1,0,17.0,50.0,0.0,0,0,0
545,1,1.2075648348440184,1.0,1.0,4.0,1938.0,1.0,2.0,2375.0,50.0,8.0,1,0,0,1,1,0,52.0,85.0,0.0,0,0,0
546,1,1.2075648348440184,1.0,1.0,4.0,1991.0,2.0,3.0,1550.0,30.0,7.0,1,0,0,1,1,0,-1.0,32.0,0.0,1,0,0
549,4,1.2524284086434012,1.0,1.0,4.0,2000.0,2.0,5.0,,50.0,8.0,4,0,0,1,1,0,-10.0,23.0,0.0,1,0,0
551,42,0.5445972257083529,1.0,2.0,1.0,1957.0,1.0,3.0,1063.0,150.0,16.0,42,1,1,1,1,1,33.0,66.0,18.0,0,1,1
553,2,1.2038247711023997,1.0,1.0,4.0,1978.0,2.0,3.0,1875.0,30.0,7.0,2,0,0,1,1,0,12.0,45.0,0.0,0,0,0
554,90,0.5408545025487828,1.0,2.0,1.0,2000.0,2.0,5.0,,160.0,17.0,90,0,0,1,1,1,-10.0,23.0,0.0,1,0,0
555,3,0.5408545025487828,1.0,2.0,1.0,1942.0,2.0,3.0,1063.0,130.0,16.0,3,0,0,1,1,1,48.0,81.0,18.0,0,1,1
558,1,1.2524284086434012,1.0,1.0,4.0,1970.0,2.0,5.0,1320.0,10.0,11.0,1,0,0,1,1,0,20.0,53.0,0.0,0,0,0
559,1,1.2038247711023997,1.0,1.0,4.0,1968.0,1.0,2.0,813.0,30.0,7.0,1,0,0,1,1,0,22.0,55.0,0.0,0,0,0
562,4,1.2038247711023997,1.0,1.0,4.0,1984.0,1.0,5.0,,80.0,9.0,4,0,0,1,1,0,6.0,39.0,0.0,0,0,0
563,1,1.2524284086434012,1.0,1.0,4.0,1955.0,1.0,2.0,2375.0,60.0,8.0,1,0,0,1,1,0,35.0,68.0,0.0,0,0,0
565,4,0.5445972257083529,1.0,2.0,1.0,1995.0,3.0,5.0,938.0,130.0,12.0,4,0,0,1,1,1,-5.0,28.0,0.0,1,0,0
566,1,1.2038247711023997,1.0,1.0,4.0,1962.0,2.0,3.0,1625.0,60.0,6.0,1,0,0,1,1,0,28.0,61.0,0.0,0,0,0
567,4,1.2075648348440184,1.0,1.0,4.0,1969.0,1.0,5.0,5500.0,80.0,1.0,4,0,0,1,1,0,21.0,54.0,0.0,0,0,0
569,42,0.5408545025487828,1.0,2.0,1.0,1938.0,1.0,2.0,3250.0,140.0,15.0,42,1,1,1,1,1,52.0,85.0,18.0,0,1,1
570,1,1.2075648348440184,1.0,1.0,4.0,1989.0,1.0,5.0,3500.0,80.0,1.0,1,0,0,1,1,0,1.0,34.0,0.0,0,0,0
571,3,1.2075648348440184,1.0,1.0,4.0,1982.0,2.0,5.0,1250.0,50.0,8.0,3,0,0,1,1,0,8.0,41.0,0.0,0,0,0
572,4,1.2524284086434012,1.0,1.0,4.0,2000.0,1.0,2.0,850.0,30.0,7.0,4,0,0,1,1,0,-10.0,23.0,0.0,1,0,0
573,1,1.2038247711023997,1.0,1.0,4.0,1968.0,1.0,3.0,2875.0,50.0,8.0,1,0,0,1,1,0,22.0,55.0,0.0,0,0,0
574,4,1.2038247711023997,1.0,1.0,2.0,1963.0,1.0,3.0,2125.0,90.0,15.0,4,0,0,1,1,1,27.0,60.0,18.0,0,1,1
575,3,1.2075648348440184,1.0,1.0,4.0,1933.0,1.0,4.0,3750.0,30.0,11.0,3,0,0,1,1,0,57.0,90.0,0.0,0,0,0
577,2,1.2524284086434012,1.0,1.0,4.0,1949.0,2.0,2.0,1438.0,60.0,6.0,2,0,0,1,1,0,41.0,74.0,0.0,0,0,0
578,4,1.2524284086434012,1.0,1.0,4.0,1950.0,2.0,5.0,2375.0,60.0,6.0,4,0,0,1,1,0,40.0,73.0,0.0,0,0,0
579,4,1.2075648348440184,1.0,1.0,4.0,1972.0,1.0,5.0,4250.0,90.0,2.0,4,0,0,1,1,0,18.0,51.0,0.0,0,0,0
580,2,1.2524284086434012,1.0,1.0,4.0,1943.0,1.0,2.0,,50.0,8.0,2,0,0,1,1,0,47.0,80.0,0.0,0,0,0
581,4,1.2075648348440184,1.0,1.0,4.0,1993.0,2.0,5.0,2900.0,111.0,2.0,4,0,0,1,1,0,-3.0,30.0,0.0,1,0,0
582,4,0.5445972257083529,1.0,2.0,1.0,1987.0,2.0,5.0,2600.0,140.0,15.0,4,0,0,1,1,1,3.0,36.0,3.0,0,1,0
583,1,1.2524284086434012,1.0,1.0,4.0,1964.0,1.0,2.0,4000.0,80.0,1.0,1,0,0,1,1,0,26.0,59.0,0.0,0,0,0
585,4,1.2038247711023997,1.0,1.0,4.0,1956.0,2.0,3.0,1875.0,50.0,8.0,4,0,0,1,1,0,34.0,67.0,0.0,0,0,0
586,1,1.2075648348440184,1.0,1.0,4.0,1967.0,1.0,5.0,3000.0,90.0,2.0,1,0,0,1,1,0,23.0,56.0,0.0,0,0,0
