respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
1,0,0,1.2524284086434012,1973.0,17.0,0.174255811996904,0.27128780071847197,0.17897644169570798,0.3090569859323862,-0.04857684957136331
2,0,0,1.2038247711023995,1972.0,18.0,0.17602969582598704,0.26479956123780907,0.15882403736552977,0.29873008864356987,-0.04505883763071303
3,0,0,1.2038247711023995,1954.0,36.0,0.23335077026531428,0.13405649767471425,0.01542264632095818,0.13875080409144486,0.147139061391684
4,1,1,0.5445972257083529,1950.0,40.0,0.19803820735311792,0.21044163812460986,0.0799317370801365,4.117409057668047,0.21879951741705606
5,0,0,1.2075648348440184,2004.0,-14.0,0.16585726436477144,0.09450292245696378,0.03001620577953947,0.10047121249237748,0.12128424616061868
6,0,0,1.2524284086434012,1978.0,12.0,0.1975369359047201,0.14276080793730728,0.07308050327769744,0.16075054396101685,0.07086645959132122
9,0,0,1.2075648348440184,1996.0,-6.0,0.14400063281304912,0.20687471481819306,0.07261803265748532,0.21909089517669178,0.022909546098238722
10,0,0,1.2524284086434012,1984.0,6.0,0.16316583557570827,0.33740653481911864,0.20647856023335825,0.37766570233544805,0.23828289702560052
11,0,0,1.2038247711023995,1957.0,33.0,0.2291520272510382,0.13081232380601976,0.045068565625122625,0.14420997618806297,0.11523615645062359
12,0,0,1.2524284086434012,2002.0,-12.0,0.14137589486057686,0.1902222101104721,0.09421551861145432,0.20573517227135252,0.13580696787891394
13,0,0,1.2038247711023995,1954.0,36.0,0.1961980985418678,0.1988552697019018,0.0848917174032586,0.21957628753758857,0.09879282559455575
14,1,1,0.5011444524580629,1978.0,12.0,0.1656082981363577,0.29579299024746236,0.09062620096309663,4.4574114997077015,0.1580735489049669
15,0,1,1.2524284086434012,1984.0,6.0,0.19090503668954842,0.11431952163333975,0.08383244857194765,-0.5683421857980651,0.07107953307941607
20,0,0,1.2075648348440184,1941.0,49.0,0.21268072860352583,0.14486892768691018,0.033007902223171674,0.153785443450644,0.05436376961978214
23,1,0,1.2038247711023995,1955.0,35.0,0.23195778016673985,0.11592566818464128,0.01612185672927039,-1.1812170984163894,0.06634736983628854
25,0,0,1.2038247711023995,1980.0,10.0,0.19507607961777101,0.14274357875116284,0.09808570780002804,0.16651498727767,0.08709347109098774
27,0,0,1.2038247711023995,1974.0,16.0,0.20660026665373057,0.21608068875647016,0.023238533453465472,0.22213197287762607,0.2777408548854049
31,0,0,1.2038247711023995,1962.0,28.0,0.2161164696842571,0.28826612093483495,0.08074434805276662,0.3105273150705148,0.2635469123487374
32,0,0,1.2038247711023995,1979.0,11.0,0.20027844191085875,0.11991797718661164,0.050841361751394774,0.13265044464756848,0.09629897350773088
34,0,0,1.2524284086434012,1988.0,2.0,0.15904942859981075,0.3025848115074292,0.1250067583720464,0.3262274061691874,0.15563222664537993
35,0,0,1.2038247711023995,1990.0,0.0,0.15702300188115195,0.2671294990919742,0.12681807553396796,0.2907521542267787,0.1345260896482849
37,0,0,1.2075648348440184,1961.0,29.0,0.2213194344480067,0.21533382641670543,0.031702728013143756,0.22434449156584027,0.19859857274431342
38,0,0,1.2524284086434012,1965.0,25.0,0.21728475495240915,0.3347753759172915,0.01641639321292279,0.3393326296555338,0.3010364279032659
