respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample
1,2,1.2524284086434012,1,1,4,1973,1,3,1370,70,9,2,0,0,1,1
2,1,1.2038247711023997,1,1,4,1972,1,4,3000,90,2,1,0,0,1,1
3,1,1.2038247711023997,1,1,4,1954,2,4,688,90,2,1,0,0,1,1
4,42,0.5445972257083529,1,2,1,1950,1,3,1438,160,17,42,1,1,1,1
5,4,1.2075648348440184,2,1,4,2004,2,5,-50,50,8,4,0,0,1,1
6,2,1.2524284086434012,1,1,4,1978,2,5,800,90,2,2,0,0,1,1
7,-50,1.2038247711023997,3,1,-10,1996,2,3,-7,60,95,-50,,,0,0
8,3,1.2038247711023997,3,1,-10,1952,2,2,-50,50,95,3,0,0,1,1
9,4,1.2075648348440184,1,1,4,1996,1,5,36000,10,8,4,0,0,1,1
10,3,1.2524284086434012,1,1,4,1984,1,3,4500,80,1,3,0,0,1,1
11,1,1.2038247711023997,1,1,4,1957,2,2,1063,30,7,1,0,0,1,1
12,1,1.2524284086434012,1,1,4,2002,1,3,1800,90,2,1,0,0,1,1
13,4,1.2038247711023997,1,1,4,1954,1,3,3250,90,2,4,0,0,1,1
14,42,0.5011444524580629,1,2,1,1978,1,4,2375,120,12,42,1,1,1,1
15,2,1.2524284086434012,1,1,2,1984,2,3,1000,50,16,2,0,0,1,1
16,-8,1.2075648348440184,1,1,4,1972,2,3,1822,50,8,-8,,,0,0
17,91,1.2075648348440184,3,1,-10,1994,2,5,-50,80,95,91,0,,1,0
18,-7,0.5408545025487828,1,2,1,1963,2,4,-9,140,15,-7,,,0,0
19,-7,1.2038247711023997,1,1,4,1992,1,5,2375,80,1,-7,,,0,0
20,2,1.2075648348440184,1,1,4,1941,1,4,4250,60,9,2,0,0,1,1
21,91,0.5408545025487828,1,2,-10,1991,2,5,1500,160,95,91,0,,1,0
22,91,0.5011444524580629,1,2,3,1963,1,3,1722,112,4,91,0,,1,0
23,42,1.2038247711023997,1,1,4,1955,2,-9,450,50,8,42,1,1,1,1
24,-8,1.2038247711023997,1,1,4,1954,2,2,1313,50,8,-8,,,0,0
25,4,1.2038247711023997,1,1,4,1980,2,5,2125,111,6,4,0,0,1,1
26,-7,0.5445972257083529,1,2,1,1945,2,2,-9,140,15,-7,,,0,0
27,6,1.2038247711023997,1,1,4,1974,2,5,1313,80,1,6,0,0,1,1
28,-8,1.2075648348440184,1,1,4,1985,1,-33,3400,50,8,-8,,,0,0
29,2,0.5011444524580629,1,2,-10,1938,1,2,1700,140,18,2,0,0,1,1
30,-8,1.2075648348440184,1,1,4,1961,1,3,1600,50,8,-8,,,0,0
31,1,1.2038247711023997,1,1,4,1962,2,5,6750,50,8,1,0,0,1,1
32,1,1.2038247711023997,1,1,4,1979,2,2,-50,90,2,1,0,0,1,1
33,-50,1.2524284086434012,3,1,-10,1975,1,5,3000,90,95,-50,,,0,0
34,2,1.2524284086434012,1,1,4,1988,1,3,551,111,4,2,0,0,1,1
35,2,1.2038247711023997,1,1,4,1990,1,3,2865,80,1,2,0,0,1,1
36,91,0.5011444524580629,1,2,-32,1971,2,-9,-9,112,-9,91,0,,1,0
37,1,1.2075648348440184,1,1,4,1961,2,3,2000,90,2,1,0,0,1,1
38,2,1.2524284086434012,1,1,4,1965,2,3,960,30,7,2,0,0,1,1
39,2,1.2038247711023997,1,1,-10,1978,2,5,1438,80,95,2,0,0,1,1
40,-9,1.2038247711023997,1,1,4,1991,1,3,3500,50,8,-9,,,0,0
41,42,1.2075648348440184,1,1,4,1948,1,5,4500,50,8,42,1,1,1,1
42,90,0.5011444524580629,1,2,1,1983,1,5,2375,140,12,90,0,0,1,1
43,1,1.2524284086434012,1,1,4,1974,1,3,4300,10,11,1,0,0,1,1
44,4,1.2038247711023997,1,1,4,1943,2,6,1188,80,8,4,0,0,1,1
45,4,1.2075648348440184,1,1,4,1990,2,5,2700,50,7,4,0,0,1,1
46,4,1.2524284086434012,1,1,4,1956,1,5,2350,111,8,4,0,0,1,1
47,1,1.2524284086434012,1,1,4,1961,2,2,1875,10,11,1,0,0,1,1
48,1,0.5011444524580629,1,2,1,1957,2,3,1200,130,14,1,0,0,1,1
49,-9,1.2075648348440184,1,1,4,1972,2,2,-9,50,8,-9,,,0,0
50,6,0.5011444524580629,1,2,1,1998,1,2,889,140,15,6,0,0,1,1
51,6,0.5445972257083529,1,2,1,1954,2,3,1063,150,16,6,0,0,1,1
52,4,1.2524284086434012,1,1,4,1990,1,5,1700,90,2,4,0,0,1,1
53,42,1.2524284086434012,1,1,4,1950,1,2,550,50,7,42,1,1,1,1
54,4,1.2524284086434012,1,1,4,1986,1,5,4085,80,1,4,0,0,1,1
55,4,1.2524284086434012,1,1,4,1999,1,3,2600,30,7,4,0,0,1,1
56,1,1.2075648348440184,1,1,4,1950,1,4,5000,80,1,1,0,0,1,1
57,1,1.2038247711023997,1,1,4,1952,2,3,-7,50,8,1,0,0,1,1
58,-9,0.5408545025487828,1,2,-10,1942,1,2,1438,150,95,-9,,,0,0
59,-50,1.2524284086434012,3,1,4,1968,1,2,2125,30,7,-50,,,0,0
60,4,0.5408545025487828,1,2,1,1993,1,3,2200,160,17,4,0,0,1,1
61,1,1.2524284086434012,1,1,4,2001,2,5,2400,90,2,1,0,0,1,1
62,-9,1.2075648348440184,1,1,-10,1966,1,3,-9,90,18,-9,,,0,0
63,42,0.5011444524580629,1,2,1,1987,1,2,1875,140,12,42,1,1,1,1
64,4,1.2524284086434012,1,1,4,2003,2,5,520,80,1,4,0,0,1,1
65,-8,1.2038247711023997,1,1,4,1994,1,5,1625,90,2,-8,,,0,0
66,2,1.2524284086434012,1,1,4,1948,1,2,-9,70,9,2,0,0,1,1
67,-8,0.5408545025487828,1,2,1,1986,2,5,1600,130,14,-8,,,0,0
68,1,1.2075648348440184,1,1,4,1974,1,2,1800,90,2,1,0,0,1,1
69,1,0.5408545025487828,1,2,1,1958,2,4,1200,160,17,1,0,0,1,1
70,2,0.5445972257083529,1,2,1,1982,3,5,2875,140,15,2,0,0,1,1
71,2,0.5011444524580629,1,2,1,1964,1,3,3300,120,12,2,0,0,1,1
72,3,1.2075648348440184,2,1,4,1994,2,5,1780,60,6,3,0,0,1,1
73,-8,1.2524284086434012,3,1,4,1981,1,2,1800,80,1,-8,,,0,0
74,4,1.2524284086434012,1,1,4,1993,2,5,2400,90,2,4,0,0,1,1
75,1,1.2075648348440184,1,1,4,1941,1,2,-7,50,7,1,0,0,1,1
76,6,0.5011444524580629,1,2,1,1980,2,3,1336,112,13,6,0,0,1,1
77,-9,1.2038247711023997,1,1,4,1988,2,3,-9,80,1,-9,,,0,0
78,4,1.2038247711023997,1,1,4,1992,1,5,3037,50,8,4,0,0,1,1
79,42,0.5011444524580629,1,2,1,1959,1,3,1200,140,15,42,1,1,1,1
80,1,0.5011444524580629,1,2,1,1979,2,3,-50,140,16,1,0,0,1,1
81,42,1.2038247711023997,1,1,4,1981,2,2,1200,30,6,42,1,1,1,1
82,4,1.2524284086434012,1,1,4,1961,1,3,1150,90,2,4,0,0,1,1
83,2,1.2038247711023997,1,1,4,1973,2,5,2875,20,5,2,0,0,1,1
84,-8,1.2075648348440184,1,1,4,1959,2,3,1063,90,2,-8,,,0,0
85,1,1.2075648348440184,1,1,4,1983,2,3,1300,90,2,1,0,0,1,1
86,2,1.2038247711023997,1,1,4,1946,1,5,1313,30,7,2,0,0,1,1
87,42,1.2524284086434012,1,1,4,1969,1,2,2800,30,7,42,1,1,1,1
88,4,1.2524284086434012,1,1,4,1950,2,5,600,80,8,4,0,0,1,1
89,4,1.2038247711023997,1,1,4,1952,2,5,2375,60,6,4,0,0,1,1
90,42,1.2075648348440184,1,1,4,1983,1,3,4900,50,8,42,1,1,1,1
91,91,1.2075648348440184,1,1,-10,1995,1,3,1500,30,95,91,0,,1,0
92,1,1.2075648348440184,1,1,4,1997,2,4,1800,60,6,1,0,0,1,1
93,42,1.2524284086434012,1,1,4,1979,1,2,2300,90,2,42,1,1,1,1
94,-7,1.2524284086434012,1,1,4,1963,2,5,1063,50,8,-7,,,0,0
95,1,1.2524284086434012,3,1,-10,1942,1,2,1200,90,95,1,0,0,1,1
96,-8,1.2524284086434012,2,1,4,1993,2,3,2125,20,5,-8,,,0,0
97,2,1.2524284086434012,1,1,4,1966,1,3,2700,50,8,2,0,0,1,1
98,1,0.5011444524580629,1,2,1,1989,2,5,2800,140,15,1,0,0,1,1
99,1,0.5445972257083529,1,2,1,1972,2,3,1625,130,14,1,0,0,1,1
100,42,1.2038247711023997,2,1,-10,1964,1,3,2625,70,95,42,1,1,1,1
101,3,0.5445972257083529,1,2,1,1989,2,3,1438,160,15,3,0,0,1,1
102,3,1.2038247711023997,1,1,4,1962,1,5,-7,80,1,3,0,0,1,1
103,3,1.2075648348440184,1,1,4,1942,2,3,563,70,9,3,0,0,1,1
104,2,1.2524284086434012,1,1,4,1981,2,4,2375,60,6,2,0,0,1,1
105,42,0.5011444524580629,1,2,1,1983,1,3,2200,150,16,42,1,1,1,1
106,4,0.5011444524580629,1,2,1,1979,2,4,3000,160,17,4,0,0,1,1
107,-8,1.2524284086434012,1,1,4,1994,1,3,1700,30,8,-8,,,0,0
108,2,1.2524284086434012,1,1,2,1978,2,4,6000,111,13,2,0,0,1,1
109,42,1.2075648348440184,1,1,4,1982,1,1,-9,90,2,42,1,1,1,1
110,6,0.5445972257083529,-32,2,-32,-9,-9,4,1313,140,-9,6,0,0,1,1
111,3,1.2524284086434012,1,1,4,1972,1,4,4200,70,9,3,0,0,1,1
112,4,0.5011444524580629,1,2,1,1991,2,5,2300,120,17,4,0,0,1,1
113,-8,1.2524284086434012,1,1,4,1965,1,2,-9,10,11,-8,,,0,0
114,2,1.2038247711023997,1,1,4,1936,1,2,2125,50,8,2,0,0,1,1
115,42,1.2524284086434012,1,1,4,1948,2,2,350,30,7,42,1,1,1,1
116,-7,1.2038247711023997,3,1,-10,1976,1,1,1875,50,95,-7,,,0,0
117,3,1.2038247711023997,1,1,4,1996,1,-33,2125,100,10,3,0,0,1,1
118,1,0.5408545025487828,1,2,1,1939,1,2,1063,140,15,1,0,0,1,1
119,42,0.5408545025487828,1,2,1,1963,1,3,2300,120,12,42,1,1,1,1
120,2,1.2075648348440184,1,1,4,2003,2,5,-50,90,2,2,0,0,1,1
121,91,1.2038247711023997,3,1,-10,1976,2,-33,2625,30,95,91,0,,1,0
122,2,1.2038247711023997,1,1,4,1956,2,2,1063,90,2,2,0,0,1,1
123,2,1.2524284086434012,1,1,4,1960,2,5,-50,10,11,2,0,0,1,1
124,2,1.2038247711023997,1,1,4,1959,2,5,2625,90,2,2,0,0,1,1
125,3,1.2038247711023997,1,1,4,1949,1,2,1625,80,1,3,0,0,1,1
126,-8,1.2524284086434012,1,1,4,1961,1,5,2875,90,2,-8,,,0,0
127,-7,1.2524284086434012,1,1,4,1958,2,3,-50,90,2,-7,,,0,0
128,-7,0.5408545025487828,1,2,1,1968,1,5,3000,112,13,-7,,,0,0
129,2,1.2075648348440184,1,1,4,1950,2,2,1850,50,8,2,0,0,1,1
130,1,0.5011444524580629,1,2,1,1959,1,3,1500,120,12,1,0,0,1,1
131,3,1.2524284086434012,1,1,4,2003,1,3,900,50,8,3,0,0,1,1
132,3,1.2524284086434012,1,1,4,1959,1,3,2800,60,6,3,0,0,1,1
133,42,1.2038247711023997,1,1,-10,1971,1,4,1875,50,95,42,1,1,1,1
134,4,1.2524284086434012,1,1,4,1956,1,5,2000,10,11,4,0,0,1,1
135,2,1.2075648348440184,1,1,4,1959,1,2,2000,50,8,2,0,0,1,1
136,2,1.2075648348440184,1,1,4,1938,1,2,1875,90,2,2,0,0,1,1
137,2,1.2075648348440184,1,1,4,1955,1,5,1900,70,10,2,0,0,1,1
138,-8,0.5445972257083529,1,2,1,1960,2,5,150,140,17,-8,,,0,0
139,42,0.5011444524580629,1,2,1,1969,2,3,1500,150,16,42,1,1,1,1
140,2,1.2038247711023997,1,1,4,1954,2,3,350,60,6,2,0,0,1,1
141,4,0.5445972257083529,1,2,1,1964,2,3,1625,160,17,4,0,0,1,1
142,42,0.5011444524580629,1,2,1,1966,2,3,1875,140,15,42,1,1,1,1
143,1,1.2038247711023997,1,1,4,1957,1,5,6000,50,8,1,0,0,1,1
144,2,0.5445972257083529,1,2,1,1952,2,3,563,150,16,2,0,0,1,1
145,6,0.5011444524580629,1,2,1,2000,1,2,600,160,17,6,0,0,1,1
146,1,1.2524284086434012,1,1,4,1948,2,2,1875,80,1,1,0,0,1,1
147,-50,0.5011444524580629,3,2,-10,2001,2,5,1300,150,95,-50,,,0,0
148,4,0.5408545025487828,1,2,1,1958,1,-33,600,130,17,4,0,0,1,1
149,42,1.2038247711023997,1,1,4,1983,1,3,2500,80,1,42,1,1,1,1
150,1,1.2038247711023997,1,1,4,1952,2,3,-7,50,8,1,0,0,1,1
151,1,1.2038247711023997,1,1,4,1981,2,4,2125,60,8,1,0,0,1,1
152,2,1.2075648348440184,1,1,4,1969,1,4,3650,50,8,2,0,0,1,1
153,-8,0.5445972257083529,1,2,1,1994,1,4,2150,120,15,-8,,,0,0
154,2,1.2524284086434012,1,1,4,1978,1,3,2050,60,8,2,0,0,1,1
155,1,1.2038247711023997,1,1,4,1958,1,2,938,60,6,1,0,0,1,1
156,-7,0.5408545025487828,1,2,1,1951,1,2,1300,112,14,-7,,,0,0
157,-8,1.2075648348440184,1,1,4,1942,1,3,2125,60,6,-8,,,0,0
158,1,1.2075648348440184,1,1,2,1978,1,2,2125,90,16,1,0,0,1,1
159,1,1.2524284086434012,1,1,4,1966,1,2,2600,30,7,1,0,0,1,1
160,6,1.2075648348440184,1,1,4,1977,1,4,2700,50,6,6,0,0,1,1
161,3,0.5445972257083529,1,2,3,1973,1,5,5500,112,1,3,0,0,1,1
162,1,0.5445972257083529,1,2,1,1963,1,3,1438,150,16,1,0,0,1,1
163,3,1.2524284086434012,1,1,4,1964,1,3,3400,90,2,3,0,0,1,1
164,4,1.2524284086434012,1,1,4,1961,2,5,3300,90,10,4,0,0,1,1
165,90,1.2075648348440184,1,1,4,1943,1,2,2000,90,2,90,0,0,1,1
166,4,1.2075648348440184,1,1,4,1961,2,3,-50,50,7,4,0,0,1,1
167,6,0.5011444524580629,1,2,1,1960,2,4,-50,130,14,6,0,0,1,1
168,-8,1.2075648348440184,1,1,4,1985,1,3,2125,70,9,-8,,,0,0
169,91,1.2524284086434012,1,1,4,1950,2,2,-9,50,8,91,0,,1,0
170,-8,0.5408545025487828,1,2,1,1999,2,5,-50,140,15,-8,,,0,0
171,90,1.2075648348440184,1,1,4,1961,1,3,2150,70,9,90,0,0,1,1
172,2,1.2075648348440184,1,1,4,1998,2,5,-50,60,6,2,0,0,1,1
173,91,0.5445972257083529,1,2,1,1949,1,5,1063,160,17,91,0,,1,0
174,4,1.2038247711023997,1,1,4,1959,2,3,1625,90,2,4,0,0,1,1
175,42,1.2075648348440184,3,1,4,2000,1,5,-9,50,8,42,1,1,1,1
176,2,1.2075648348440184,1,1,4,1970,1,5,5500,50,8,2,0,0,1,1
177,6,0.5445972257083529,1,2,3,1971,2,5,3100,140,8,6,0,0,1,1
178,2,0.5445972257083529,1,2,1,1939,2,2,-7,160,17,2,0,0,1,1
179,3,0.5011444524580629,1,2,1,1983,1,5,3500,120,12,3,0,0,1,1
180,91,1.2038247711023997,1,1,4,1952,2,2,1875,50,8,91,0,,1,0
181,2,1.2075648348440184,1,1,4,1950,2,5,-50,30,1,2,0,0,1,1
182,-7,1.2075648348440184,1,1,4,1948,1,3,1625,50,8,-7,,,0,0
183,-7,0.5011444524580629,1,2,1,1949,2,5,1800,140,17,-7,,,0,0
184,-50,1.2524284086434012,3,1,-10,1987,1,5,2000,80,95,-50,,,0,0
185,-8,0.5011444524580629,1,2,1,1954,2,3,750,140,15,-8,,,0,0
186,42,1.2524284086434012,1,1,-10,1978,2,3,800,50,18,42,1,1,1,1
187,-8,1.2524284086434012,1,1,4,1944,2,2,1200,90,2,-8,,,0,0
188,2,0.5408545025487828,1,2,1,1939,1,4,1625,160,17,2,0,0,1,1
189,1,1.2075648348440184,1,1,4,1984,2,4,2800,90,1,1,0,0,1,1
190,2,1.2524284086434012,1,1,4,1945,2,2,1188,10,11,2,0,0,1,1
191,2,1.2524284086434012,1,1,4,1958,2,5,-9,60,6,2,0,0,1,1
192,4,1.2524284086434012,1,1,4,1989,1,5,3750,80,1,4,0,0,1,1
193,-42,1.2075648348440184,1,1,4,1961,2,4,-50,10,8,-42,,,0,0
194,-7,1.2038247711023997,1,1,4,2003,1,3,935,90,2,-7,,,0,0
195,-50,1.2524284086434012,3,1,-10,1981,1,5,3250,50,95,-50,,,0,0
196,-50,1.2038247711023997,3,1,-10,1991,1,5,2375,30,95,-50,,,0,0
197,4,0.5445972257083529,1,2,1,2004,1,5,-50,140,15,4,0,0,1,1
198,2,1.2524284086434012,1,1,4,1948,1,2,1245,50,8,2,0,0,1,1
199,2,1.2038247711023997,1,1,4,1959,2,5,3250,90,7,2,0,0,1,1
200,3,1.2524284086434012,1,1,4,1990,1,3,2300,30,7,3,0,0,1,1
201,1,1.2524284086434012,1,1,4,1965,2,3,1242,80,1,1,0,0,1,1
202,3,1.2038247711023997,1,1,4,1967,2,5,1875,80,1,3,0,0,1,1
203,42,1.2038247711023997,2,1,4,1974,2,3,1875,70,9,42,1,1,1,1
204,-8,0.5408545025487828,1,2,1,1944,2,3,1063,120,12,-8,,,0,0
205,42,0.5445972257083529,1,2,1,1957,1,2,1063,140,15,42,1,1,1,1
206,1,1.2524284086434012,1,1,2,1949,2,3,960,111,12,1,0,0,1,1
207,91,0.5011444524580629,1,2,1,1979,1,3,2125,120,12,91,0,,1,0
208,4,1.2038247711023997,1,1,4,1969,2,5,-50,70,9,4,0,0,1,1
209,-50,0.5011444524580629,3,2,-10,1989,2,5,150,150,95,-50,,,0,0
210,4,1.2075648348440184,1,1,4,2003,2,5,-50,30,7,4,0,0,1,1
211,4,0.5445972257083529,1,2,3,1966,1,4,3250,130,7,4,0,0,1,1
212,-8,1.2524284086434012,1,1,4,1963,1,4,1000,50,8,-8,,,0,0
213,4,1.2524284086434012,1,1,4,1977,2,5,1600,90,2,4,0,0,1,1
214,-9,1.2038247711023997,1,1,4,1969,1,3,1625,30,7,-9,,,0,0
215,42,0.5408545025487828,1,2,1,1982,1,3,3100,140,15,42,1,1,1,1
216,-7,1.2075648348440184,1,1,4,1975,2,2,-9,50,8,-7,,,0,0
217,42,0.5408545025487828,1,2,1,1988,1,3,1560,120,12,42,1,1,1,1
218,-8,1.2075648348440184,1,1,4,1952,1,2,3000,90,6,-8,,,0,0
219,4,1.2075648348440184,1,1,4,1965,1,2,3250,80,1,4,0,0,1,1
220,6,0.5011444524580629,1,2,1,1978,2,3,1300,112,13,6,0,0,1,1
221,1,1.2038247711023997,1,1,4,1938,1,5,1313,80,1,1,0,0,1,1
222,-50,1.2524284086434012,3,1,-10,1968,2,5,2300,20,95,-50,,,0,0
223,1,0.5408545025487828,1,2,1,1935,2,2,2625,140,15,1,0,0,1,1
224,-9,1.2038247711023997,1,1,4,2003,2,5,938,50,8,-9,,,0,0
225,1,1.2038247711023997,1,1,-10,1949,2,2,-9,111,95,1,0,0,1,1
226,42,0.5445972257083529,1,2,1,1987,2,3,2375,150,15,42,1,1,1,1
227,2,1.2038247711023997,1,1,4,1959,2,2,1188,70,9,2,0,0,1,1
228,42,1.2038247711023997,1,1,4,1982,2,3,938,60,4,42,1,1,1,1
229,42,1.2524284086434012,1,1,4,1986,1,5,4000,60,6,42,1,1,1,1
230,4,0.5011444524580629,1,2,1,1961,1,2,1300,150,16,4,0,0,1,1
231,1,1.2038247711023997,2,1,-10,1971,1,3,938,60,95,1,0,0,1,1
232,-8,0.5011444524580629,1,2,1,2004,1,3,1625,140,15,-8,,,0,0
233,1,0.5408545025487828,1,2,1,1955,2,5,1800,150,16,1,0,0,1,1
234,2,1.2524284086434012,1,1,4,1971,1,3,4000,90,2,2,0,0,1,1
235,-50,0.5445972257083529,3,2,-10,1941,1,5,2125,160,95,-50,,,0,0
236,3,1.2075648348440184,2,1,4,2002,2,5,688,50,8,3,0,0,1,1
237,3,1.2038247711023997,1,1,4,1958,1,2,563,90,2,3,0,0,1,1
238,-8,0.5445972257083529,1,2,-10,1984,2,5,1200,140,95,-8,,,0,0
239,-9,1.2075648348440184,1,1,4,1971,2,3,-9,10,5,-9,,,0,0
240,90,1.2524284086434012,1,1,4,1968,1,2,2500,90,2,90,0,0,1,1
241,-8,1.2524284086434012,1,1,4,2004,2,3,-50,90,2,-8,,,0,0
242,-8,1.2075648348440184,1,1,4,1962,1,4,4000,60,6,-8,,,0,0
243,42,1.2075648348440184,3,1,-10,1998,1,5,2125,20,95,42,1,1,1,1
244,6,0.5011444524580629,1,2,1,1956,2,3,1800,130,14,6,0,0,1,1
245,1,0.5011444524580629,1,2,-10,1972,1,5,3000,150,95,1,0,0,1,1
246,3,1.2075648348440184,3,1,4,1996,2,3,1800,80,1,3,0,0,1,1
247,3,1.2075648348440184,1,1,4,1944,1,4,1875,50,8,3,0,0,1,1
248,4,1.2075648348440184,1,1,4,1954,2,3,1625,90,2,4,0,0,1,1
249,6,0.5011444524580629,1,2,1,1974,2,5,3000,112,13,6,0,0,1,1
250,42,1.2038247711023997,1,1,4,1956,1,3,6750,70,9,42,1,1,1,1
251,1,1.2075648348440184,1,1,4,1949,1,5,-9,50,8,1,0,0,1,1
252,-50,0.5408545025487828,3,2,-10,1992,2,3,1000,150,95,-50,,,0,0
253,2,1.2038247711023997,1,1,4,1980,1,5,3450,80,1,2,0,0,1,1
254,-7,0.5445972257083529,1,2,1,1963,2,3,2125,140,15,-7,,,0,0
255,1,0.5011444524580629,1,2,1,1947,1,2,1150,120,12,1,0,0,1,1
256,1,1.2075648348440184,1,1,4,1936,2,2,1438,10,11,1,0,0,1,1
257,-7,1.2075648348440184,1,1,4,1995,2,4,2400,50,8,-7,,,0,0
258,1,0.5011444524580629,1,2,1,1975,2,5,3750,160,12,1,0,0,1,1
259,-8,0.5408545025487828,1,2,1,1954,1,5,1600,112,16,-8,,,0,0
260,42,1.2524284086434012,1,1,4,1988,2,4,1090,50,8,42,1,1,1,1
261,3,1.2524284086434012,1,1,4,1995,1,3,2375,60,6,3,0,0,1,1
262,1,1.2524284086434012,1,1,4,1957,2,2,1875,50,8,1,0,0,1,1
263,-7,1.2075648348440184,1,1,4,1967,1,5,4250,111,6,-7,,,0,0
264,4,0.5011444524580629,1,2,1,1997,2,5,1313,112,13,4,0,0,1,1
265,90,0.5011444524580629,1,2,1,1987,2,5,2625,160,17,90,0,0,1,1
266,-7,1.2075648348440184,1,1,4,1953,2,2,938,60,8,-7,,,0,0
267,42,0.5408545025487828,1,2,1,1965,2,3,1313,120,12,42,1,1,1,1
268,1,0.5011444524580629,1,2,1,1936,2,3,2125,140,15,1,0,0,1,1
269,4,1.2038247711023997,1,1,4,1952,2,2,1188,50,8,4,0,0,1,1
270,91,0.5445972257083529,3,2,-10,1984,2,4,-50,140,95,91,0,,1,0
271,-8,0.5408545025487828,1,2,1,-9,1,5,-50,150,16,-8,,,0,0
272,4,0.5011444524580629,1,2,3,1989,1,5,5000,112,1,4,0,0,1,1
273,4,1.2524284086434012,1,1,4,1959,2,3,1125,90,2,4,0,0,1,1
274,2,0.5011444524580629,1,2,1,1960,2,3,2000,140,15,2,0,0,1,1
275,2,0.5445972257083529,1,2,1,1949,2,3,563,160,17,2,0,0,1,1
276,2,1.2038247711023997,1,1,4,1965,2,3,1875,80,1,2,0,0,1,1
277,1,1.2524284086434012,1,1,4,1966,1,3,3000,30,7,1,0,0,1,1
278,4,1.2524284086434012,1,1,4,1969,1,5,6750,90,7,4,0,0,1,1
279,6,1.2524284086434012,1,1,4,1968,1,2,2500,30,7,6,0,0,1,1
280,2,1.2038247711023997,1,1,4,1944,2,2,600,90,2,2,0,0,1,1
281,2,0.5011444524580629,1,2,1,1954,2,2,900,140,15,2,0,0,1,1
282,-9,0.5445972257083529,1,2,1,1963,2,5,2375,140,15,-9,,,0,0
283,42,1.2524284086434012,1,1,4,1973,1,4,3400,90,8,42,1,1,1,1
284,1,1.2075648348440184,1,1,4,1982,1,5,3750,90,2,1,0,0,1,1
285,4,0.5408545025487828,1,2,1,1979,1,2,1600,130,14,4,0,0,1,1
286,2,1.2524284086434012,1,1,4,1953,2,5,-9,60,6,2,0,0,1,1
287,2,1.2038247711023997,1,1,4,1948,1,3,3000,50,8,2,0,0,1,1
288,4,1.2038247711023997,1,1,4,1983,1,5,4500,20,2,4,0,0,1,1
289,42,1.2075648348440184,-32,1,4,1963,1,2,-9,100,10,42,1,1,1,1
290,2,1.2038247711023997,1,1,4,1976,2,4,-7,30,8,2,0,0,1,1
291,2,0.5408545025487828,1,2,1,1963,2,5,6750,120,12,2,0,0,1,1
292,42,0.5011444524580629,1,2,1,1970,1,3,700,150,15,42,1,1,1,1
293,-7,1.2038247711023997,1,1,4,2000,2,3,1700,90,2,-7,,,0,0
294,42,0.5011444524580629,1,2,1,1976,2,3,1313,130,12,42,1,1,1,1
295,2,1.2075648348440184,2,1,-10,1977,1,5,14500,70,18,2,0,0,1,1
296,1,1.2524284086434012,1,1,4,1976,1,5,3250,60,6,1,0,0,1,1
297,-8,0.5445972257083529,1,2,1,1980,2,4,1823,120,15,-8,,,0,0
298,-7,1.2524284086434012,1,1,2,1946,2,5,-9,80,17,-7,,,0,0
299,-7,1.2075648348440184,1,1,-10,1973,2,3,1800,80,18,-7,,,0,0
300,6,0.5408545025487828,1,2,1,1957,2,4,-9,150,16,6,0,0,1,1
301,4,1.2524284086434012,1,1,4,1994,2,5,2100,50,8,4,0,0,1,1
302,-8,1.2038247711023997,1,1,4,1950,2,3,450,20,7,-8,,,0,0
303,-42,0.5445972257083529,1,2,3,1970,1,5,1875,112,8,-42,,,0,0
304,1,1.2524284086434012,1,1,4,1960,1,2,4250,60,6,1,0,0,1,1
305,91,0.5408545025487828,3,2,-10,1976,1,1,2300,120,95,91,0,,1,0
306,91,1.2524284086434012,2,1,-10,1971,2,5,-50,30,95,91,0,,1,0
307,2,1.2524284086434012,1,1,4,1976,1,5,3250,60,6,2,0,0,1,1
308,1,0.5445972257083529,1,2,1,1977,1,2,1438,140,15,1,0,0,1,1
309,3,0.5408545025487828,1,2,1,1960,2,2,1875,140,15,3,0,0,1,1
310,3,1.2524284086434012,1,1,4,2004,1,7,-50,50,8,3,0,0,1,1
311,91,0.5408545025487828,3,2,1,1974,1,5,2625,112,13,91,0,,1,0
312,-8,1.2038247711023997,1,1,4,1970,2,3,1063,50,8,-8,,,0,0
313,2,1.2524284086434012,1,1,4,1956,2,2,900,60,6,2,0,0,1,1
314,-8,0.5445972257083529,1,2,1,1987,2,3,2125,120,12,-8,,,0,0
315,-8,0.5445972257083529,1,2,1,1954,2,5,563,150,16,-8,,,0,0
316,-8,0.5445972257083529,1,2,3,1961,1,1,1438,130,4,-8,,,0,0
317,6,0.5011444524580629,1,2,1,1980,2,5,2250,140,15,6,0,0,1,1
318,1,0.5408545025487828,1,2,1,1958,2,5,1600,160,15,1,0,0,1,1
319,1,1.2038247711023997,1,1,4,1984,2,5,1625,90,2,1,0,0,1,1
320,-7,1.2075648348440184,1,1,4,1965,2,3,3750,10,11,-7,,,0,0
321,4,1.2075648348440184,1,1,4,1964,2,3,-50,90,2,4,0,0,1,1
322,91,0.5011444524580629,1,2,1,1976,1,6,800,130,14,91,0,,1,0
323,-8,1.2524284086434012,1,1,4,1984,2,5,2375,90,2,-8,,,0,0
