respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample
4220,1,1.2524284086434012,3,1,-10,1972,1,3,-9,60,95,1,0,0,1,1
4221,90,0.5408545025487828,1,2,1,1988,2,5,2000,120,12,90,0,0,1,1
4222,42,1.2524284086434012,1,1,4,1958,1,2,2750,30,7,42,1,1,1,1
4223,2,1.2038247711023997,1,1,4,1943,2,2,1438,70,9,2,0,0,1,1
4224,-50,1.2524284086434012,3,1,-10,1981,2,5,1500,50,95,-50,,,0,0
4225,-8,1.2038247711023997,1,1,4,2004,1,7,-50,60,6,-8,,,0,0
4226,6,0.5445972257083529,1,2,1,2000,2,5,1063,140,15,6,0,0,1,1
4227,4,1.2038247711023997,1,1,2,1962,2,3,1875,30,14,4,0,0,1,1
4228,91,1.2075648348440184,1,1,4,1953,2,5,688,10,5,91,0,,1,0
4229,-7,1.2075648348440184,1,1,4,2000,1,4,-50,50,8,-7,,,0,0
4230,1,0.5408545025487828,1,2,1,1965,1,3,3300,140,15,1,0,0,1,1
4231,3,0.5011444524580629,2,2,3,1968,1,5,2200,112,1,3,0,0,1,1
4232,2,1.2524284086434012,1,1,4,1962,1,2,450,60,6,2,0,0,1,1
4233,4,1.2075648348440184,1,1,4,1982,2,5,2500,50,8,4,0,0,1,1
4234,1,1.2524284086434012,1,1,2,1941,1,2,1100,50,16,1,0,0,1,1
4235,91,1.2524284086434012,1,1,4,1988,2,3,2000,50,2,91,0,,1,0
4236,2,1.2524284086434012,1,1,4,1940,2,2,1000,50,8,2,0,0,1,1
4237,90,1.2524284086434012,1,1,4,1969,2,3,1800,30,7,90,0,0,1,1
4238,1,0.5445972257083529,1,2,1,1953,1,5,3750,120,16,1,0,0,1,1
4239,-8,0.5445972257083529,1,2,1,1997,1,2,1300,120,12,-8,,,0,0
4240,42,0.5408545025487828,1,2,1,1975,1,3,-9,120,12,42,1,1,1,1
4241,1,1.2075648348440184,1,1,4,1996,2,5,2363,90,2,1,0,0,1,1
4242,1,0.5011444524580629,1,2,-32,1954,2,5,1250,112,-41,1,0,0,1,1
4243,1,1.2038247711023997,1,1,4,1978,1,4,3600,70,9,1,0,0,1,1
4244,1,1.2524284086434012,2,1,-10,1973,1,5,5000,90,95,1,0,0,1,1
4245,1,1.2038247711023997,1,1,4,1955,1,2,2375,80,1,1,0,0,1,1
4246,42,1.2524284086434012,1,1,2,1980,1,3,2625,90,14,42,1,1,1,1
4247,-8,1.2038247711023997,1,1,4,1963,1,5,10000,90,8,-8,,,0,0
4248,-8,1.2524284086434012,1,1,4,1954,2,3,-9,50,8,-8,,,0,0
4249,91,1.2524284086434012,1,1,4,1970,2,1,150,60,1,91,0,,1,0
4250,91,0.5408545025487828,1,2,1,1957,1,3,1875,120,12,91,0,,1,0
4251,-8,0.5011444524580629,1,2,1,1948,2,5,2375,140,16,-8,,,0,0
4252,3,1.2075648348440184,1,1,2,1948,2,-9,3250,80,15,3,0,0,1,1
4253,3,1.2524284086434012,1,1,4,1993,1,3,3800,30,7,3,0,0,1,1
4254,1,1.2075648348440184,1,1,4,1958,2,4,1625,30,7,1,0,0,1,1
4255,90,1.2075648348440184,1,1,4,1965,1,3,2442,80,1,90,0,0,1,1
4256,91,0.5011444524580629,1,2,3,1971,1,4,3200,112,8,91,0,,1,0
4257,1,0.5011444524580629,1,2,1,1991,2,5,1300,120,12,1,0,0,1,1
4258,1,1.2524284086434012,1,1,4,1985,2,4,3500,80,1,1,0,0,1,1
4259,91,0.5011444524580629,1,2,1,1969,2,3,1920,150,16,91,0,,1,0
4260,1,0.5011444524580629,1,2,1,1945,1,3,1500,140,15,1,0,0,1,1
4261,1,1.2524284086434012,1,1,4,1993,2,2,395,30,7,1,0,0,1,1
4262,6,0.5011444524580629,1,2,1,1943,1,5,1600,130,14,6,0,0,1,1
4263,42,1.2524284086434012,1,1,4,1968,1,5,2200,60,7,42,1,1,1,1
4264,1,1.2075648348440184,1,1,4,1949,1,4,3200,80,1,1,0,0,1,1
4265,1,1.2075648348440184,1,1,4,1964,1,3,3150,80,1,1,0,0,1,1
4266,3,1.2075648348440184,1,1,2,1976,1,3,2700,90,12,3,0,0,1,1
4267,42,1.2524284086434012,1,1,4,2000,1,3,993,80,1,42,1,1,1,1
4268,4,0.5011444524580629,1,2,1,2000,1,5,900,150,16,4,0,0,1,1
4269,42,1.2038247711023997,1,1,2,1969,2,5,-50,90,12,42,1,1,1,1
4270,1,1.2075648348440184,1,1,4,1985,2,4,1700,90,2,1,0,0,1,1
4271,90,1.2075648348440184,1,1,4,1988,2,5,1650,50,8,90,0,0,1,1
4272,3,1.2075648348440184,1,1,4,1949,2,2,1875,60,6,3,0,0,1,1
4273,91,0.5445972257083529,1,2,1,1965,1,3,2375,140,15,91,0,,1,0
4274,1,1.2524284086434012,1,1,4,1999,2,5,1000,70,9,1,0,0,1,1
4275,2,1.2038247711023997,1,1,4,1980,2,3,938,30,7,2,0,0,1,1
4276,2,0.5011444524580629,1,2,1,1954,2,3,1500,120,12,2,0,0,1,1
4277,2,0.5408545025487828,1,2,1,1950,2,3,1438,120,12,2,0,0,1,1
4278,-8,1.2524284086434012,1,1,4,1982,1,4,2700,30,7,-8,,,0,0
4279,1,1.2038247711023997,1,1,4,1969,1,3,3750,60,6,1,0,0,1,1
4280,4,1.2038247711023997,1,1,4,1963,1,5,5500,50,8,4,0,0,1,1
4281,4,1.2038247711023997,1,1,4,1981,1,5,2400,30,7,4,0,0,1,1
4282,-8,1.2075648348440184,1,1,4,1997,1,5,500,70,6,-8,,,0,0
4283,2,1.2038247711023997,1,1,4,1962,1,4,-50,100,10,2,0,0,1,1
4284,90,1.2075648348440184,1,1,4,1972,1,3,3500,50,8,90,0,0,1,1
4285,2,1.2524284086434012,1,1,4,1989,2,3,2100,30,7,2,0,0,1,1
4286,-7,1.2075648348440184,1,1,-32,1939,2,3,2125,70,-42,-7,,,0,0
4287,42,1.2038247711023997,1,1,4,1964,2,3,2125,80,1,42,1,1,1,1
4288,2,1.2075648348440184,1,1,4,1968,1,2,2200,90,2,2,0,0,1,1
4289,-8,1.2075648348440184,1,1,4,1946,2,2,150,60,6,-8,,,0,0
4290,4,1.2075648348440184,1,1,4,1976,1,5,2125,50,8,4,0,0,1,1
4291,-50,1.2524284086434012,3,1,-10,1979,2,5,-50,50,95,-50,,,0,0
4292,3,1.2038247711023997,1,1,4,1990,1,3,1850,90,7,3,0,0,1,1
4293,1,1.2038247711023997,1,1,2,1938,2,2,350,50,16,1,0,0,1,1
4294,91,1.2038247711023997,1,1,4,1973,1,2,1438,50,8,91,0,,1,0
4295,6,1.2524284086434012,1,1,4,1996,1,3,2875,50,8,6,0,0,1,1
4296,1,1.2038247711023997,1,1,2,1988,1,5,4250,80,15,1,0,0,1,1
4297,3,1.2075648348440184,1,1,4,1946,1,5,5500,50,8,3,0,0,1,1
4298,1,1.2075648348440184,1,1,4,1959,2,2,1875,50,1,1,0,0,1,1
4299,2,1.2524284086434012,1,1,4,1939,1,2,-9,20,11,2,0,0,1,1
4300,90,1.2075648348440184,1,1,4,1962,1,2,2125,90,2,90,0,0,1,1
4301,42,0.5408545025487828,1,2,-10,2004,2,4,-50,120,95,42,1,1,1,1
4302,90,0.5011444524580629,1,2,1,1941,2,2,1438,140,15,90,0,0,1,1
4303,-8,0.5408545025487828,1,2,1,1999,2,5,1200,140,13,-8,,,0,0
4304,2,1.2038247711023997,1,1,4,1966,1,3,2875,90,2,2,0,0,1,1
4305,2,1.2524284086434012,1,1,-10,1984,2,5,-50,100,95,2,0,0,1,1
4306,2,1.2524284086434012,1,1,4,1965,1,2,3300,90,2,2,0,0,1,1
4307,1,0.5011444524580629,1,2,1,1961,1,3,3800,140,15,1,0,0,1,1
4308,91,1.2075648348440184,1,1,4,1987,1,3,938,60,6,91,0,,1,0
4309,4,1.2524284086434012,1,1,4,1989,2,3,1875,80,1,4,0,0,1,1
4310,1,0.5408545025487828,1,2,1,1960,1,5,1700,120,12,1,0,0,1,1
4311,2,0.5011444524580629,1,2,1,1980,1,3,340,112,13,2,0,0,1,1
4312,91,1.2524284086434012,1,1,-10,1958,2,5,938,50,18,91,0,,1,0
4313,3,1.2038247711023997,1,1,4,1961,1,5,-7,80,1,3,0,0,1,1
4314,42,0.5445972257083529,1,2,1,-9,-9,2,1625,112,13,42,1,1,1,1
4315,-8,1.2038247711023997,1,1,-10,1975,2,2,1875,80,95,-8,,,0,0
4316,4,1.2075648348440184,1,1,4,1981,2,5,2375,50,8,4,0,0,1,1
4317,6,1.2524284086434012,1,1,4,1998,1,2,3760,10,11,6,0,0,1,1
4318,2,0.5011444524580629,1,2,1,1941,1,2,2300,120,12,2,0,0,1,1
4319,1,1.2524284086434012,1,1,4,1949,1,2,938,60,6,1,0,0,1,1
