variable,dtype,missing_share,nunique,top_values
de10,int64,0.0,5,"{0: 5044, 1: 124, -9: 51, -10: 26, -41: 1}"
de11,int64,0.0,5,"{0: 4740, 1: 428, -9: 51, -10: 26, -41: 1}"
de12,int64,0.0,5,"{0: 4386, 1: 782, -9: 51, -10: 26, -41: 1}"
de13,int64,0.0,5,"{0: 4711, 1: 457, -9: 51, -10: 26, -41: 1}"
de14,int64,0.0,5,"{0: 4676, 1: 492, -9: 51, -10: 26, -41: 1}"
de15,int64,0.0,5,"{0: 3974, 1: 1194, -9: 51, -10: 26, -41: 1}"
de16,int64,0.0,5,"{0: 4991, 1: 177, -9: 51, -10: 26, -41: 1}"
de05,int64,0.0,5,"{0: 4728, 1: 440, -9: 51, -10: 26, -41: 1}"
dw18,int64,0.0,5,"{2: 2426, -10: 2263, 1: 531, -9: 20, -41: 6}"
dw20,int64,0.0,5,"{-10: 3113, 2: 1612, -9: 300, 1: 215, -41: 6}"
dw22,int64,0.0,5,"{-10: 5133, 1: 58, 2: 43, -41: 6, -9: 6}"
rr02,int64,0.0,5,"{-10: 2315, 2: 1615, 1: 1257, -9: 56, -41: 3}"
scde06,int64,0.0,5,"{0: 2740, -10: 2403, 1: 57, -9: 44, -41: 2}"
scde07,int64,0.0,5,"{0: 2769, -10: 2403, -9: 44, 1: 28, -41: 2}"
scde08,int64,0.0,5,"{-10: 2403, 0: 2134, 1: 663, -9: 44, -41: 2}"
scde09,int64,0.0,5,"{-10: 2403, 0: 2264, 1: 533, -9: 44, -41: 2}"
scde10,int64,0.0,5,"{0: 2775, -10: 2403, -9: 44, 1: 22, -41: 2}"
scde11,int64,0.0,5,"{0: 2596, -10: 2403, 1: 201, -9: 44, -41: 2}"
scde12,int64,0.0,5,"{0: 2454, -10: 2403, 1: 343, -9: 44, -41: 2}"
scde13,int64,0.0,5,"{0: 2537, -10: 2403, 1: 260, -9: 44, -41: 2}"
scde14,int64,0.0,5,"{0: 2538, -10: 2403, 1: 259, -9: 44, -41: 2}"
scde15,int64,0.0,5,"{-10: 2403, 0: 2160, 1: 637, -9: 44, -41: 2}"
scde16,int64,0.0,5,"{0: 2724, -10: 2403, 1: 73, -9: 44, -41: 2}"
scde05,int64,0.0,5,"{0: 2676, -10: 2403, 1: 121, -9: 44, -41: 2}"
scdw07,int64,0.0,5,"{-10: 3858, 2: 987, 1: 358, -9: 35, -41: 8}"
dp01,int64,0.0,5,"{-10: 2841, 2: 1330, 1: 1021, -9: 52, -41: 2}"
dp03,int64,0.0,5,"{-10: 4223, 1: 636, 2: 380, -9: 5, -41: 2}"
pde06,int64,0.0,5,"{-10: 4230, 0: 986, -9: 15, 1: 13, -41: 2}"
pde07,int64,0.0,5,"{-10: 4230, 0: 992, -9: 15, 1: 7, -41: 2}"
pde08,int64,0.0,5,"{-10: 4230, 0: 761, 1: 238, -9: 15, -41: 2}"
pde09,int64,0.0,5,"{-10: 4230, 0: 868, 1: 131, -9: 15, -41: 2}"
pde10,int64,0.0,5,"{-10: 4230, 0: 990, -9: 15, 1: 9, -41: 2}"
pde11,int64,0.0,5,"{-10: 4230, 0: 957, 1: 42, -9: 15, -41: 2}"
pde12,int64,0.0,5,"{-10: 4230, 0: 863, 1: 136, -9: 15, -41: 2}"
pde13,int64,0.0,5,"{-10: 4230, 0: 927, 1: 72, -9: 15, -41: 2}"
pde14,int64,0.0,5,"{-10: 4230, 0: 927, 1: 72, -9: 15, -41: 2}"
pde15,int64,0.0,5,"{-10: 4230, 0: 728, 1: 271, -9: 15, -41: 2}"
pde16,int64,0.0,5,"{-10: 4230, 0: 978, 1: 21, -9: 15, -41: 2}"
pde05,int64,0.0,5,"{-10: 4230, 0: 897, 1: 102, -9: 15, -41: 2}"
pdw07,int64,0.0,5,"{-10: 4585, 2: 483, 1: 162, -9: 14, -41: 2}"
hh3sex,int64,0.0,5,"{-10: 3570, 1: 824, 2: 821, -9: 30, -42: 1}"
hh5sex,int64,0.0,5,"{-10: 4989, 1: 126, 2: 119, -9: 11, 3: 1}"
hh5mstat,int64,0.0,5,"{-10: 4989, 5: 228, -9: 23, 1: 5, 4: 1}"
hh8kin,int64,0.0,5,"{-10: 5235, 3: 7, 5: 2, 16: 1, -9: 1}"
dh16,int64,0.0,5,"{0: 3602, 1: 1399, -32: 223, 3: 19, 2: 3}"
kh6sex,int64,0.0,5,"{-10: 5233, -41: 5, 2: 4, -9: 3, 1: 1}"
kh7sex,int64,0.0,5,"{-10: 5235, -41: 5, 1: 3, -9: 2, 2: 1}"
kh8sex,int64,0.0,5,"{-10: 5236, -41: 5, -9: 2, 1: 2, 2: 1}"
kh9sex,int64,0.0,5,"{-10: 3583, -15: 1656, -41: 5, 2: 1, 1: 1}"
kh9yborn,int64,0.0,5,"{-10: 3583, -15: 1656, -41: 5, 1990: 1, 2004: 1}"
kh9age,int64,0.0,5,"{-10: 3583, -15: 1656, -32: 5, 32: 1, 18: 1}"
splt23_3,int64,0.0,5,"{-15: 2003, 1: 1277, 3: 1169, 4: 427, 2: 370}"
lp04,int64,0.0,6,"{2: 2046, -11: 1647, 1: 1478, -8: 52, -9: 19, -42: 4}"
lp05,int64,0.0,6,"{1: 2629, -11: 1647, 2: 887, -8: 62, -9: 20, -42: 1}"
mi06,int64,0.0,6,"{2: 1841, -11: 1596, 1: 1532, 3: 218, -9: 31, -8: 28}"
mi09,int64,0.0,6,"{2: 1808, 1: 1658, -11: 1596, 3: 135, -8: 25, -9: 24}"
dg03,int64,0.0,6,"{4: 3024, 1: 1448, -10: 474, 2: 139, 3: 128, -32: 33}"
re01,int64,0.0,6,"{5: 2765, 4: 908, 3: 849, 2: 405, 1: 272, -9: 47}"
rh02b,int64,0.0,6,"{2: 1655, -6: 1598, 3: 1405, 1: 545, -9: 40, -42: 3}"
rh03b,int64,0.0,6,"{-6: 2615, 3: 1661, 2: 772, 1: 134, -9: 60, -42: 4}"
rh08b,int64,0.0,6,"{3: 3540, 2: 1321, -6: 178, 1: 169, -9: 34, -42: 4}"
rh09b,int64,0.0,6,"{3: 4370, 2: 513, -6: 248, 1: 79, -9: 34, -42: 2}"
rh10b,int64,0.0,6,"{3: 4171, 2: 689, -6: 254, 1: 92, -9: 37, -42: 3}"
rh11b,int64,0.0,6,"{2: 2303, 1: 1418, 3: 1144, -6: 337, -9: 41, -42: 3}"
rh12b,int64,0.0,6,"{2: 2354, 3: 1183, 1: 856, -6: 812, -9: 39, -42: 2}"
rh13b,int64,0.0,6,"{2: 2526, 3: 1530, 1: 889, -6: 272, -9: 28, -42: 1}"
rb08,int64,0.0,6,"{4: 2043, 2: 1444, 3: 879, 1: 780, -9: 50, -42: 50}"
ra22,int64,0.0,6,"{4: 2952, 3: 1037, 2: 707, -9: 202, 1: 175, -8: 173}"
ra19,int64,0.0,6,"{2: 3494, 3: 1393, 1: 233, -9: 64, -8: 53, -42: 9}"
mm07,int64,0.0,6,"{3: 1654, 2: 1546, 4: 1353, 1: 608, -9: 82, -42: 3}"
pp06,int64,0.0,6,"{1: 3054, -11: 1596, 0: 363, -50: 201, -41: 16, -9: 16}"
pp10,int64,0.0,6,"{0: 2507, -11: 1596, 1: 910, -50: 201, -41: 16, -9: 16}"
pp12,int64,0.0,6,"{0: 2960, -11: 1596, 1: 457, -50: 201, -41: 16, -9: 16}"
pp18,int64,0.0,6,"{0: 3045, -11: 1596, 1: 372, -50: 201, -41: 16, -9: 16}"
pp20,int64,0.0,6,"{1: 2629, -11: 1596, 0: 788, -50: 201, -41: 16, -9: 16}"
