yborn_bin,n,cate_point_w,cate_ci_low,cate_ci_high,bootstrap_B
<=1945,363,0.053883818687700855,0.04855412098263837,0.05977796433482965,500
1946-55,535,0.10666837683148998,0.1010971874616366,0.11214160230383731,500
1956-65,727,0.20630421980592345,0.20113150957931022,0.21138502068408674,500
1966-75,575,0.20250718407260668,0.19157800265679653,0.21408000679785635,500
1976-85,473,0.1261884622549824,0.11754811052363935,0.1351960740337989,500
1986-90,277,0.09792515724815752,0.0914319180574342,0.10491374374845043,500
