sample,spec,e_hat_all_q01_q05_q50_q95_q99,e_hat_t1_q01_q05_q50_q95_q99,e_hat_t0_q01_q05_q50_q95_q99
all_party_choosers,spec_A_pre,"[0.14182975785920734, 0.14906913479530282, 0.19248009112164366, 0.24470311595320463, 0.2620451981737198]","[0.142345440271019, 0.15207401888443722, 0.1968014664262085, 0.24745499896825576, 0.2620610002892543]","[0.14159172624833788, 0.14816316346309513, 0.190255107152928, 0.24438311380771402, 0.26177881257689384]"
all_party_choosers,spec_B_plus_ses,"[0.06739931878575456, 0.11172057944736388, 0.1774740982496831, 0.3245566877252511, 0.35386169140785606]","[0.08905846672923606, 0.12527578008584006, 0.1980248786954673, 0.3315605885987396, 0.3554587080963562]","[0.060899896954105005, 0.10694180572501519, 0.16903177197188285, 0.31567930410964334, 0.35145535563910446]"
born_le_1990,spec_A_pre,"[0.18392481039815375, 0.18621705603355834, 0.1950532081865363, 0.2352065480401685, 0.23692562808771742]","[0.1838107738980467, 0.18621705603355834, 0.22330774075148144, 0.23529445028861573, 0.2367039778146555]","[0.18426724869866246, 0.18621705603355834, 0.19437865909101926, 0.2352065480401685, 0.23695301163549695]"
born_le_1990,spec_B_plus_ses,"[0.06518750237935253, 0.11292136631788267, 0.19728685412130859, 0.349086717579513, 0.37649520245742585]","[0.07979390955644293, 0.13127658951784427, 0.22704786608649555, 0.3528286365499845, 0.3719792676757632]","[0.06030090362170698, 0.10484805452957555, 0.18438451701870584, 0.3415732540242732, 0.37878792163512176]"
