yborn_bin,n,cate_mean_w
<=1945,363,0.05223459271238417
1946-55,535,0.1071386878995162
1956-65,727,0.20627695739384644
1966-75,575,0.1993814925900362
1976-85,473,0.15186520881011953
1986-90,277,0.05936141892115705
1991+,559,0.04422908418481238
