age_1990_bin,n,cate_mean_w
<=0,616,0.047208890914516584
1-5,269,0.06736513882675851
6-10,238,0.16299862733374074
11-15,227,0.16373769184772033
16-18,129,0.06496132827495371
19+,2030,0.15894876921617823
