age_1990_bin,n,cate_point_w,cate_ci_low,cate_ci_high,bootstrap_B
<=0,57,0.11797927180507357,0.10378596289704536,0.1315782175021645,500
1-5,269,0.09009137620300663,0.083825270389561,0.09625553711651126,500
6-10,238,0.113527107139931,0.09943094684685885,0.12959927327666046,500
11-15,227,0.17847938300607538,0.1683098834942407,0.1892748695892653,500
16-18,129,0.03914275381279118,0.008541921221685223,0.0716929113193424,500
19+,2030,0.16097011909612607,0.1563552043045013,0.1654728727990404,500
