age_1990_bin,n,cate_mean_w
1-5,269,0.09009137620300668
11-15,227,0.17847938300607544
16-18,129,0.03914275381279116
19+,2030,0.1609701190961261
6-10,238,0.11352710713993104
<=0,57,0.1179792718050736
